               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036322,            0.021084,            0.072109,              0.3529,             0.22702,             0.15911,             0.11341,             0.02327,           0.0082599,            0.069255,               0.001,               0.001,               0.001
                   1,            0.022816,           0.0057312,            0.060561,             0.59122,             0.33309,             0.36167,             0.25675,            0.022481,           0.0071513,            0.055939,               0.001,               0.001,               0.001
                   2,            0.024639,           0.0052077,            0.044488,             0.73719,             0.47467,             0.52858,             0.35741,            0.024652,           0.0072819,            0.039374,            0.000997,            0.000997,            0.000997
                   3,             0.02549,           0.0049472,            0.029923,             0.74574,             0.65621,             0.73041,             0.49078,            0.026403,            0.007066,            0.026864,            0.000994,            0.000994,            0.000994
                   4,            0.025602,           0.0049899,            0.022611,             0.71849,             0.72163,             0.77288,             0.52432,             0.02686,           0.0069528,             0.02302,            0.000991,            0.000991,            0.000991
                   5,            0.025225,           0.0049736,             0.01973,             0.75215,             0.75753,             0.79096,             0.55387,            0.025094,           0.0075176,            0.020925,            0.000988,            0.000988,            0.000988
                   6,            0.024126,           0.0048796,            0.015174,             0.83827,             0.74366,             0.80352,             0.54223,            0.024992,           0.0075886,             0.02056,            0.000985,            0.000985,            0.000985
                   7,            0.023536,           0.0046657,            0.013396,             0.86734,             0.84115,             0.88232,             0.60864,            0.023597,           0.0067226,            0.013613,            0.000982,            0.000982,            0.000982
                   8,            0.022406,           0.0045371,            0.012324,             0.82164,             0.77207,             0.84031,             0.56115,            0.025021,           0.0073824,            0.015913,            0.000979,            0.000979,            0.000979
                   9,            0.022498,            0.004675,            0.010236,             0.88813,             0.84012,              0.9144,             0.65082,            0.023617,           0.0068261,            0.014026,            0.000976,            0.000976,            0.000976
                  10,            0.022081,           0.0045568,           0.0086411,             0.88308,             0.82857,             0.88751,             0.63638,            0.023071,           0.0070751,            0.012001,            0.000973,            0.000973,            0.000973
                  11,            0.021629,           0.0045736,           0.0078751,             0.79688,             0.79292,             0.82643,             0.57585,            0.025404,           0.0080044,            0.015438,             0.00097,             0.00097,             0.00097
                  12,            0.021703,           0.0043683,           0.0069599,             0.89177,             0.85898,             0.90093,              0.6422,             0.02386,           0.0068923,            0.010494,            0.000967,            0.000967,            0.000967
                  13,               0.021,           0.0043529,           0.0061317,             0.88975,             0.84847,             0.91138,             0.63876,            0.023333,           0.0069048,            0.010177,            0.000964,            0.000964,            0.000964
                  14,            0.020765,           0.0042433,           0.0054235,             0.87153,             0.92832,              0.9408,             0.66275,            0.022366,           0.0066101,           0.0074664,            0.000961,            0.000961,            0.000961
