               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063776,            0.040839,            0.077123,             0.13143,             0.33944,            0.081805,            0.052735,            0.031522,            0.019982,              0.0721,              0.0001,              0.0001,              0.0001
                   1,            0.029606,            0.016142,            0.067127,              0.6543,              0.1977,             0.14755,             0.10717,            0.024506,            0.012447,            0.065275,              0.0001,              0.0001,              0.0001
                   2,            0.025459,             0.01165,            0.060097,             0.49194,             0.29368,             0.20555,             0.15337,            0.022438,            0.010329,             0.06062,            9.97e-05,            9.97e-05,            9.97e-05
                   3,            0.024943,            0.010179,            0.056127,             0.33282,             0.37851,              0.2844,             0.20981,            0.022552,           0.0092764,            0.055492,            9.94e-05,            9.94e-05,            9.94e-05
                   4,            0.023969,           0.0099585,            0.050385,             0.40154,             0.42192,              0.3335,             0.24659,            0.021953,           0.0086712,            0.050785,            9.91e-05,            9.91e-05,            9.91e-05
                   5,            0.023909,           0.0089678,            0.048458,             0.43327,             0.43315,             0.38447,             0.28544,            0.021603,           0.0082813,            0.046789,            9.88e-05,            9.88e-05,            9.88e-05
                   6,             0.02386,           0.0090436,            0.044133,             0.41325,             0.45805,             0.44485,             0.32033,            0.021689,           0.0080162,            0.042908,            9.85e-05,            9.85e-05,            9.85e-05
                   7,            0.023855,           0.0084993,            0.041158,             0.61362,             0.46651,              0.5199,             0.38451,            0.021262,           0.0076873,            0.038774,            9.82e-05,            9.82e-05,            9.82e-05
                   8,            0.023288,           0.0078921,            0.035911,             0.65141,             0.52176,             0.56632,             0.41668,            0.021114,            0.007506,            0.035269,            9.79e-05,            9.79e-05,            9.79e-05
                   9,            0.023626,           0.0079025,            0.034042,             0.72805,             0.55283,             0.62079,             0.44755,            0.021218,           0.0073652,            0.032192,            9.76e-05,            9.76e-05,            9.76e-05
                  10,            0.023576,           0.0075333,            0.030098,             0.58375,               0.591,             0.59409,             0.42892,            0.022703,           0.0080599,             0.03259,            9.73e-05,            9.73e-05,            9.73e-05
                  11,            0.022752,           0.0071835,            0.028918,             0.63838,             0.69163,             0.70372,             0.50277,            0.021162,           0.0070906,            0.026759,             9.7e-05,             9.7e-05,             9.7e-05
                  12,            0.023282,           0.0072564,            0.024724,             0.64232,              0.7753,             0.77204,             0.56918,             0.02118,           0.0070969,            0.024302,            9.67e-05,            9.67e-05,            9.67e-05
                  13,            0.023411,           0.0070696,            0.021629,             0.68715,             0.80519,             0.80412,             0.59172,              0.0212,           0.0069408,            0.022276,            9.64e-05,            9.64e-05,            9.64e-05
                  14,             0.02325,           0.0070995,            0.020201,             0.74474,             0.82055,             0.83865,             0.61926,            0.020704,           0.0068286,            0.020061,            9.61e-05,            9.61e-05,            9.61e-05
                  15,            0.023265,           0.0068492,            0.017313,             0.78086,             0.80542,              0.8453,             0.61428,            0.020909,           0.0068647,            0.019131,            9.58e-05,            9.58e-05,            9.58e-05
                  16,            0.022752,           0.0071293,            0.018418,             0.83444,             0.82622,             0.87097,             0.63696,            0.021065,           0.0067514,            0.017123,            9.55e-05,            9.55e-05,            9.55e-05
                  17,            0.023219,           0.0069544,            0.016975,             0.78924,             0.79252,             0.84026,             0.61405,            0.021055,           0.0071946,              0.0189,            9.52e-05,            9.52e-05,            9.52e-05
                  18,            0.022268,            0.006888,            0.013698,             0.85942,              0.8711,             0.90509,             0.66472,            0.020594,           0.0065331,            0.014454,            9.49e-05,            9.49e-05,            9.49e-05
                  19,            0.022159,           0.0068739,              0.0136,             0.86196,             0.86665,             0.90703,             0.66516,            0.020413,           0.0065427,             0.01346,            9.46e-05,            9.46e-05,            9.46e-05
                  20,            0.021697,           0.0065247,            0.011792,             0.82617,             0.80421,             0.85979,             0.62031,            0.021958,           0.0072621,            0.016603,            9.43e-05,            9.43e-05,            9.43e-05
                  21,            0.021664,           0.0065772,              0.0107,             0.87606,             0.89966,              0.9293,             0.68686,            0.020112,           0.0064192,             0.01097,             9.4e-05,             9.4e-05,             9.4e-05
                  22,            0.021642,            0.006801,           0.0094646,             0.87068,             0.90469,             0.93288,             0.68933,            0.019888,            0.006348,            0.010101,            9.37e-05,            9.37e-05,            9.37e-05
                  23,            0.021435,           0.0067651,           0.0092541,             0.90606,             0.90627,             0.94099,             0.71105,            0.019517,           0.0063566,           0.0098311,            9.34e-05,            9.34e-05,            9.34e-05
                  24,            0.021518,           0.0066311,           0.0093323,             0.90069,             0.89478,             0.93658,             0.70044,             0.01977,           0.0065213,            0.009896,            9.31e-05,            9.31e-05,            9.31e-05
                  25,            0.020944,           0.0063968,           0.0086442,             0.92496,             0.93159,             0.95766,             0.71933,            0.019424,           0.0061998,           0.0078463,            9.28e-05,            9.28e-05,            9.28e-05
                  26,            0.020635,           0.0064228,           0.0075278,             0.94228,             0.90816,             0.96151,             0.71909,            0.019264,           0.0062499,           0.0074244,            9.25e-05,            9.25e-05,            9.25e-05
                  27,            0.021213,           0.0064878,           0.0066136,             0.94614,             0.93037,             0.96325,             0.72331,            0.019466,           0.0062105,           0.0072123,            9.22e-05,            9.22e-05,            9.22e-05
                  28,            0.020733,           0.0065676,           0.0067141,              0.9334,             0.91974,             0.95481,             0.71302,            0.019408,           0.0062851,           0.0068913,            9.19e-05,            9.19e-05,            9.19e-05
                  29,            0.020197,            0.006189,           0.0068944,             0.93974,             0.92891,             0.96426,             0.72847,            0.019175,            0.006346,           0.0068705,            9.16e-05,            9.16e-05,            9.16e-05
                  30,            0.020235,           0.0060586,           0.0054916,             0.94562,             0.94108,             0.96587,             0.72379,            0.019007,           0.0062215,           0.0063404,            9.13e-05,            9.13e-05,            9.13e-05
                  31,            0.019452,           0.0062758,           0.0054899,             0.93227,              0.9314,             0.96495,              0.7295,            0.019166,           0.0065023,           0.0063002,             9.1e-05,             9.1e-05,             9.1e-05
                  32,            0.019112,           0.0059622,           0.0059748,             0.95187,             0.94838,             0.96901,             0.73582,             0.01883,           0.0061008,           0.0054908,            9.07e-05,            9.07e-05,            9.07e-05
