               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063828,            0.040784,            0.077101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0001,              0.0001,              0.0001
                   1,            0.029534,             0.01616,            0.067086,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0001,              0.0001,              0.0001
                   2,            0.025434,            0.011652,            0.059928,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.97e-05,            9.97e-05,            9.97e-05
                   3,            0.024936,            0.010189,            0.055957,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.94e-05,            9.94e-05,            9.94e-05
                   4,            0.024006,           0.0099696,            0.050235,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                   5,            0.023921,           0.0089952,            0.048202,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.88e-05,            9.88e-05,            9.88e-05
                   6,            0.023864,           0.0090356,            0.043763,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.85e-05,            9.85e-05,            9.85e-05
                   7,            0.023773,           0.0085089,            0.040937,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.82e-05,            9.82e-05,            9.82e-05
                   8,            0.023327,            0.007875,            0.035564,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.79e-05,            9.79e-05,            9.79e-05
                   9,            0.023769,           0.0079335,             0.03373,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.76e-05,            9.76e-05,            9.76e-05
                  10,            0.023624,           0.0075325,            0.029752,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.73e-05,            9.73e-05,            9.73e-05
                  11,            0.022842,           0.0071657,            0.028564,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             9.7e-05,             9.7e-05,             9.7e-05
                  12,            0.023221,           0.0072431,            0.024403,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.67e-05,            9.67e-05,            9.67e-05
                  13,            0.023483,           0.0070668,            0.021458,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.64e-05,            9.64e-05,            9.64e-05
                  14,            0.022937,            0.007085,            0.019889,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.61e-05,            9.61e-05,            9.61e-05
                  15,             0.02329,           0.0068561,            0.017194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.58e-05,            9.58e-05,            9.58e-05
                  16,            0.022824,           0.0071403,            0.018014,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.55e-05,            9.55e-05,            9.55e-05
                  17,            0.023099,           0.0069669,            0.016575,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.52e-05,            9.52e-05,            9.52e-05
                  18,            0.022385,           0.0069008,            0.013392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.49e-05,            9.49e-05,            9.49e-05
                  19,            0.022143,           0.0068797,            0.013411,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.46e-05,            9.46e-05,            9.46e-05
                  20,             0.02174,            0.006558,            0.011697,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            9.43e-05,            9.43e-05,            9.43e-05
                  21,            0.021765,           0.0065868,            0.010738,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             9.4e-05,             9.4e-05,             9.4e-05
